id,display_name
23978,Tubaria
93626,multiple<larvae
93333,Eurypegasus draconis
91491,Thalassiosira gravida<Chloroplast
47862,Hydropsyche
85230,Cerataulina 2 temp
63185,Chironomus sp.
92271,CIstage<Calanus
85517,Plagiogrammopsis
92467,Gonyaulax sphaeroidea
27245,Calyptrosphaera sphaeroidea
28260,Campylosira
93452,not-ctenophore-beroe
92453,Gonyaulax birostris
53147,Gnathostoma
49820,Libellula
23801,Appendicheirospora
93207,Bathyphysa
92897,Congridae
79073,Pyrocystis noctiluca
93601,Membraneis chain
56049,Melosira sp.
31632,Podolampas spinifera
92031,tempPeridiniella catenata
31676,Neoceratium 01
27308,Phaeocystis pouchetii
28440,Dictyocha fibula
55359,Cylindrotheca fusiformis
92425,Ceratocorys sp.
92074,part<Amphipoda
85203,cyano clump
93365,Dactyloptena orientalis
92832,Neoceratium ranipes
26120,Echinodermata XXX
93431,shrimp-large
85346,egg 1 temp<Sardina temp
92245,middle<Chaetognatha
93032,tail<Parasagitta elegans
85064,long<centric
85490,Chaetoceros furcellatus
81861,Geryonia proboscidalis
17032,Isochrysidaceae X
93517,budding
57386,Cyttarocylis cassis
93082,larvae<Auricularia
85349,egg 7 8 temp<Sardina temp
72864,Haeckelia rubra
55847,Chaetoceros neogracile
55838,Cerataulina pelagica
58507,Protoperidinium sp.<Protoperidinium
51473,Mastigias
31532,Blepharocysta sp.
81942,Polyphemus
73680,Ancistrocheirus lesueuri
55990,Thalassiosira delicatula
31878,Symbiodiniaceae
93100,Zancleopsis
93491,small-bell<Hydrozoa
17520,Leptocylindrales
92276,male<Calanus
92821,copepodite<Corycaeidae
85045,eudoxie<Siphonophorae
93513,box-shaped
93351,Paracaesio
92612,Tripos massiliensis
74181,Cuvierina columnella
83308,Agalma clausi
92867,dead<Harpacticoida
81866,Aglantha digitale
92729,empty<egg
93265,Acanthurus
26057,Pleurobrachiidae
81867,Aglaura hemistoma
81816,Sulculeolaria
93061,Lubbockia
93276,Stegastes
85115,part<Crustacea
80172,Pseudodiaptomus
93602,Eucampia chain
92313,female<Oithona nana
92327,female<Oithona plumifera
92545,Protoperidinium crassipyrum
92357,Neodelphineis indica
12941,Demospongiae
93455,not-ostracod
85248,centric 14 temp
93733,badfocus<other
28306,Pauliella toeniata
54952,Globigerina
93366,Myctophum
79652,Poeobius meseres
78968,Heterocapsa rotundata
27128,Crella
80273,Caligus elongatus
92581,Tripos arcticus
87706,Parvocalanus crassirostris
28117,Tabellaria
93703,juvenile<Cavolinia inflexa
57484,Tintinnopsis radix
55978,Thalassiosira oceanica
92107,eudoxie<Bassia bassensis
92155,Asteromphalus darwinii
85822,Robinia<Fabales
85706,Neoceratium tripos
92891,larvae fish
92719,larvae<Clupea harengus
93417,oval<Calanoida
92783,male<Oithona
92859,Neoceratium macroceros
28245,Helicotheca
74171,Creseis conica
14028,Spatulodinium
11880,Ciliophora U01
27689,Arthracanthida F2
25916,Serratosagitta<Aphragmophora X
93614,solitaryblack-like
67332,Frickius variolosus
93152,Serranus tigrinus
93181,Aluterus schoepfii
92538,Prorocentrum rostratum
92375,Rhizosolenia sima f sima
92727,larvae<Gobiidae
92754,tornaria larvae
92843,egg sac<egg
83519,Homarus
93442,copepod-look-alike
18921,11<Peridiniales
18940,12<Prorocentrales
18938,14<Prorocentrales
93430,shrimp-escape-partially-folded
19150,15<Uncultured
85284,gymno 1 temp
93242,Thalassoma bifasciatum
18789,Oxyphysaceae
93459,not-protist-fuzzy-olive
85493,Chaetoceros contortus
18853,16<Gymnodiniales
18935,17<Prorocentrales
92344,Leptocylindrus mediterraneus
84705,Vibilia sp.
50047,Gerris
92170,Bacteriastrum furcatum
93199,Echeneis
19120,18<Uncultured
